Area,Seat,Voters,Party,Votes,Percentage,Sample Counts %,Swing,Margins,GRC/SMC,Year
Bukit Batok,1,29948,People's Action Party,15500,54.8,57.0,6.43,9.6,SMC,2020
Bukit Batok,1,29948,Singapore Democratic Party,12787,45.2,43.0,6.43,9.6,SMC,2020
Bukit Panjang,1,35437,People's Action Party,18085,53.73,56.0,14.65,7.46,SMC,2020
Bukit Panjang,1,35437,Singapore Democratic Party,15576,46.27,44.0,14.65,7.46,SMC,2020
Hong Kah North,1,28046,People's Action Party,16347,60.99,63.0,13.77,21.98,SMC,2020
Hong Kah North,1,28046,Progress Singapore Party,10457,39.01,37.0,13.77,21.98,SMC,2020
Hougang,1,26432,Workers' Party,15451,61.21,58.0,3.52,22.42,SMC,2020
Hougang,1,26432,People's Action Party,9791,38.79,42.0,3.52,22.42,SMC,2020
Kebun Baru,1,22623,People's Action Party,13309,62.92,68.0,,25.84,SMC,2020
Kebun Baru,1,22623,Progress Singapore Party,7842,37.08,32.0,,25.84,SMC,2020
MacPherson,1,28513,People's Action Party,19009,71.74,73.0,6.16,43.48,SMC,2020
MacPherson,1,28513,People's Power Party,7489,28.26,27.0,,43.48,SMC,2020
Marymount,1,23431,People's Action Party,12173,55.04,54.0,,10.08,SMC,2020
Marymount,1,23431,Progress Singapore Party,9943,44.96,46.0,,10.08,SMC,2020
Mountbatten,1,24246,People's Action Party,16285,73.82,75.0,1.96,47.64,SMC,2020
Mountbatten,1,24246,Peoples Voice,5775,26.18,25.0,,47.64,SMC,2020
Pioneer,1,24653,People's Action Party,14593,62.0,66.0,14.34,26.78,SMC,2020
Pioneer,1,24653,Progress Singapore Party,8289,35.22,32.0,,26.78,SMC,2020
Pioneer,1,24653,"Independent (Loses $13,500 deposit)",655,2.78,2.0,,26.78,SMC,2020
Potong Pasir,1,19731,People's Action Party,11264,60.67,61.0,5.74,21.34,SMC,2020
Potong Pasir,1,19731,Singapore People's Party,7302,39.33,39.0,5.74,21.34,SMC,2020
Punggol West,1,26587,People's Action Party,15655,60.98,65.0,,21.96,SMC,2020
